100	LAKES & RIVERS	River mentioned most often in the Bible	the Jordan
200	LAKES & RIVERS	Scottish word for lake	loch
400	LAKES & RIVERS	American river only 33 miles shorter than the Mississippi	the Missouri
500	LAKES & RIVERS	World's largest lake, nearly 5 times as big as Superior	the Caspian Sea
100	INVENTIONS	Marconi's wonderful wireless	the radio
200	INVENTIONS	In 1869 an American minister created this "oriental" transportation	the rickshaw
300	INVENTIONS	A 1920's hunting trip to Canada inspired Birdseye's food preserving method	freezing
400	INVENTIONS	This fastener gets its name from a brand of galoshes it was used on	a zipper
100	ANIMALS	These rodents first got to America by stowing away on ships	rats
200	ANIMALS	There are about 40,000 muscles & tendons in this part of an elephant's body	the trunk
300	ANIMALS	When husbands "pop" for an ermine coat, they're actually buying this fur	a weasel
400	ANIMALS	Close relative of the pig, though its name means "river horse\"	the hippopotamus
500	ANIMALS	If this species of hybrid's parents were reversed, you'd get a hinny	mule
100	FOREIGN CUISINE	The "coq" in coq au vin	chicken
200	FOREIGN CUISINE	A British variety is called "bangers", a Mexican variety, "chorizo\"	sausages
300	FOREIGN CUISINE	Jewish crepe filled with cheese	a blintz
400	FOREIGN CUISINE	French for a toothsome cut of beef served to a twosome	Châteaubriand
100	ACTORS & ROLES	Video in which Michael Jackson plays a werewolf & a zombie	\"Thriller\"
200	ACTORS & ROLES	2 "Saturday Night" alumni who tried "Trading Places\"	Dan Aykroyd & Eddie Murphy
300	ACTORS & ROLES	He may "Never Say Never Again" when asked to be Bond	Sean Connery
400	ACTORS & ROLES	The blonde preferred in the film "Gentlemen Prefer Blondes\"	Marilyn Monroe
500	ACTORS & ROLES	Sam Shepard played this barrier breaker in "The Right Stuff\"	Colonel Chuck Yeager
200	THE BIBLE	When "Joshua Fit The Battle Of Jericho", these took a tumble	the walls
400	THE BIBLE	His price was 30 pieces of silver	Judas
600	THE BIBLE	According to the Bible, it wasn't necessarily an apple	the forbidden fruit (or the fruit of the Tree of Knowledge)
800	THE BIBLE	Though its name means "city of peace", it's seen over 30 wars, the last in 1967	Jerusalem
1000	THE BIBLE	According to 1st Timothy, it is the "root of all evil\"	the love of money
200	\'50'S TV	Occupation of Richard Diamond, Peter Gunn & Mike Hammer	private eyes (or private detectives)
400	\'50'S TV	She was "Our Miss Brooks\"	Eve Arden
600	\'50'S TV	Amount Michael Anthony gave out each week on behalf of John Beresford Tipton	$1 million
800	\'50'S TV	His card read "Have gun, will travel\"	Paladin (Richard Boone)
1000	\'50'S TV	Name under which experimenter Don Herbert taught viewers all about science	Mr. Wizard
200	NATIONAL LANDMARKS	She came from France to harbor America's freedom	the Statue of Liberty
400	NATIONAL LANDMARKS	When he was home, George Washington slept here	Mount Vernon
600	NATIONAL LANDMARKS	The cornerstone of Massachusetts, it bears the date 1620	Plymouth Rock
800	NATIONAL LANDMARKS	Site where John Hancock signed his "John Hancock\"	Independence Hall
1000	NATIONAL LANDMARKS	D.C. building shaken by November '83 bomb blast	the Capitol
200	NOTORIOUS	It was probably a lyre, not a fiddle, if he played it while Rome burned	Nero
400	NOTORIOUS	His book, translated as "My Struggle", outlined plans to conquer Europe	Adolf Hitler
600	NOTORIOUS	Lenin called him ruthless, and his purges proved he was	Stalin
1000	NOTORIOUS	After the deed, he leaped to the stage shouting "Sic semper tyrannis\"	John Wilkes Booth
200	4-LETTER WORDS	Pulled the trigger or what's in a jigger	shot
400	4-LETTER WORDS	Basketball defense or Serling's twilight area	zone
600	4-LETTER WORDS	Little girls do it with a rope, Van Halen does it in a song	jump
1000	4-LETTER WORDS	It's the first 4-letter word in "The Star Spangled Banner\"	what
1000	4-LETTER WORDS	The president takes one before stepping into office	oath
0	HOLIDAYS	The third Monday of January starting in 1986	Martin Luther King Day
100	STATE CAPITALS	Until 1875 its dual capitals were New Haven & Hartford	Connecticut
200	STATE CAPITALS	This N.M. town is the oldest city that's a state capital	Santa Fe
300	STATE CAPITALS	Crossing the Delaware on Xmas, 1776, Washington defeated the Hessians at this N.J. capital	Trenton
400	STATE CAPITALS	It actually is 5,280 feet above sea level	Denver
500	STATE CAPITALS	The name shows its founder, Roger Williams, believed God led him there	Providence
100	THE '40'S	Though faster than a speeding bullet, he was ruled 4-F	Superman
200	THE '40'S	By war's end, they had banked over 13 million units of blood for plasma	the Red Cross
300	THE '40'S	Not his singing, but a lack of lunch caused fan to swoon at his Paramount Theater concert	Frank Sinatra
400	THE '40'S	Destination of MacArthur's "I shall return\"	the Philippines
500	THE '40'S	Wartime pseudonym of Mrs. I. Toguri D'Aquino	Tokyo Rose
100	TRANSPORTATION	Type of auto engine, or a tomato cocktail	V8
200	TRANSPORTATION	Lindbergh was not first to fly the Atlantic, but first to do it this way	solo
300	TRANSPORTATION	Derived from words "American", "travel", & "track", it provides most U.S. passenger rail service	Amtrak
400	TRANSPORTATION	London's, not New York's, was the first ever built	subway (underground, metro)
500	TRANSPORTATION	Changing lines, you could have at one time ridden these from Freeport, IL to Utica, NY	streetcars
100	COUNTRY MUSIC	A grandma before her 30th birthday, she's the real "Coal Miner's Daughter\"	Loretta Lynn
200	COUNTRY MUSIC	Nashville's Ryman Auditorium was its home for years	the Grand Ole Opry
300	COUNTRY MUSIC	In "True Grit", he played a cowboy, but not his famous Rhinestone one	Glen Campbell
400	COUNTRY MUSIC	His famed San Quentin concert inspired inmate Merle Haggard	Johnny Cash
100	BY THE NUMBERS	The 2 digits that give James Bond license to kill	00
200	BY THE NUMBERS	Three Dog Night called this the loneliest number	\"One\"
300	BY THE NUMBERS	Number of red stripes on current U.S. flag	7
400	BY THE NUMBERS	Total of Disney's Dalmatians and dwarfs	108
500	BY THE NUMBERS	Broadway hit that takes Fellini film a ½ step further	Nine
200	WILD WEST	One of its newspapers was appropriately called "The Epitaph\"	Tombstone
400	WILD WEST	She once shot a cigarette from the mouth of the German crown prince	Annie Oakley
600	WILD WEST	In 650,000 miles the mail was lost only once	the Pony Express
800	WILD WEST	Brothers Virgil & Morgan were shot here, but Wyatt Earp emerged unscathed	(the gunfight at) the OK Corral
1000	WILD WEST	It ran 2,000 miles, from Independence, Missouri to Oregon City, Oregon	the Oregon Trail
200	OPERA	The Lone Ranger's theme is the opera's overture	(The) William Tell (Overture)
400	OPERA	Profession of Rossini's Figaro	a barber
800	OPERA	Lt. Pinkerton's girlfriend Cio-Cio-San	Madame Butterfly
1000	OPERA	1976 was also the bicentennial of this famed Milan opera house	Teatro alla Scala
200	SPORTS	The Greeks reckoned time from this event, first held in Olympia in 776 B.C.	the Olympics
200	BIOLOGY	Genus Rana; frequent victim of biology class dissections	a frog
400	BIOLOGY	L.B.J.'s hound dog or Darwin's ship	the Beagle
600	BIOLOGY	The basic unit of life; 3 billion die every minute in your body	cells
800	BIOLOGY	It puts the green in greenery	chlorophyll
1000	BIOLOGY	Deoxyribonucleic acid	DNA
200	FOREIGN PHRASES	In Germany, said before a toast & after a sneeze	Gesundheit
400	FOREIGN PHRASES	American equivalent to English "the bonnet on a lorry\"	the hood of a truck
600	FOREIGN PHRASES	From French, it literally means "a pen name\"	nom de plume
800	FOREIGN PHRASES	The vidi, in "Veni, vidi, vici\"	I saw
200	RELIGION	He was the doubter among the Apostles	(St.) Thomas
400	RELIGION	Continent with the largest Jewish population	North America
600	RELIGION	Color of smoke signifying election of new Pope	white
800	RELIGION	This Buddhist sect seeks truth through concepts like "the sound of one hand clapping\"	Zen
1000	RELIGION	This word for the Mohammedan religion means "submission to the will of God\"	Islam
0	THE CALENDAR	Calendar date with which the 20th century began	January 1, 1901
100	U.S. HISTORY	This colonial inventor suggested Daylight Saving Time	Benjamin Franklin
200	U.S. HISTORY	On the eve of the Civil War, some 2,000 slaveholders were of this race	black (or negro)
100	3-LETTER WORDS	A fedora, homburg or derby	a hat
200	3-LETTER WORDS	Quixote or Drysdale	a Don
300	3-LETTER WORDS	Opposite of flow, tides do it	ebb
400	3-LETTER WORDS	Where things are nipped in, or Lou's partner	bud
500	3-LETTER WORDS	Some people have a quick one, which beats a ½ one	wit
100	AUTOMOBILES	He'd build you a Model T "in any color, so long as it was black\"	Henry Ford
200	AUTOMOBILES	This toy company builds more cars than Ford, G.M. & Chrysler combined	Mattel
300	AUTOMOBILES	Powered by this, the Stanley Special won in Daytona in 1907 at 197 MPH	steam
400	AUTOMOBILES	In Japan it's called "rasshu awa"; in L.A, 4 to 6 P.M.	rush hour
400	AUTOMOBILES	Models of Ford, Chrysler, & Cadillac are all named for cities in this S. European country	Spain
100	BROADWAY	4-letter play about 9-lived creatures	Cats
200	BROADWAY	\"The avenue we're taken to" in this long-running toe-tapper	42nd Street
300	BROADWAY	Nickname of the American Theatre Wing's Antoinette Perry Award	the Tony
400	BROADWAY	2-time Academy Award winner who reprised "Little Foxes" in 1980	Elizabeth Taylor
500	BROADWAY	100s of former cast members appeared onstage when it became longest-running show	A Chorus Line
100	ANIMALS	Scooby-Doo, Goofy & Pluto are cartoon versions	dogs
200	ANIMALS	\"Eager" animal that symbolizes Canada	the beaver
300	ANIMALS	They include killers, humpbacks & sperms	whales
500	ANIMALS	Tibetan ox used to carry travelers and mail	a yak
100	ROYALTY	While on the Riviera, she made "To Catch a Thief" & caught a prince	Princess Grace
200	ROYALTY	King for 72 years, he devoted more than 40 to building Versailles	Louis XIV (of France)
300	ROYALTY	Temporarily exiled in '53, this Islamic ruler was permanently banished in '79	Shah of Iran
400	ROYALTY	Royal families of Germany, Russia, Denmark & Greece could call her "the grandmother of Europe\"	Queen Victoria (of England)
500	ROYALTY	Country where Queens Beatrix, Wilhelmina & Juliana were inaugurated, not crowned	the Netherlands (Holland)
200	NEW TESTAMENT	Jesus' first miracle was to turn water into this	wine
400	NEW TESTAMENT	According to both New & Old Testaments, how "thou shalt love they neighbor\"	as thyself
600	NEW TESTAMENT	The "sea" that Jesus walked on	the Sea of Galilee
800	NEW TESTAMENT	In Damascus, "the scales fell from his eyes\"	Paul (Saul)
1500	NEW TESTAMENT	\"Blessed are" these "for they shall be called the children of God\"	the peacemakers
200	COLLEGES	A type of shoe or cloth, or where a Rhodes scholarship will get you	Oxford
400	COLLEGES	Home of over 52,000 Buckeyes	Ohio State University
600	COLLEGES	Latin for field, or college grounds	campus
800	COLLEGES	In 1934, Gerald Ford was voted MVP of this school's football team	(University of) Michigan
1000	COLLEGES	Women's college that shares Harvard's classes, housing & facilities but still is separate	Radcliffe
600	MOUNTAINS	First volcano to erupt in continental U.S. since 1921	Mount St. Helens
800	MOUNTAINS	Home to alpacas & llamas	the Andes
1000	MOUNTAINS	Tibetans call it Chomolunga, Nepalese call it Sagarmatha, both call it theirs	Mount Everest
200	WORLD OF FOOD	Like chop suey, this Chinese sweet was invented in America	the fortune cookie
400	WORLD OF FOOD	When its coffee crop was destroyed around 1870, Ceylon switched to growing this	tea
800	WORLD OF FOOD	French for "sour wine", one variety is literally just that	vinegar
1000	WORLD OF FOOD	Stem of a variety of lily, known in Old England as "sparrow grass\"	asparagus
200	BASEBALL	Before 1859 they sat in padded rocking chairs behind the catcher	umpires
200	ASTRONOMY	Self-luminous gaseous body, or hollywood "celeb\"	a star
400	ASTRONOMY	The evening or morning "star" is really this planet	Venus
600	ASTRONOMY	Planet once thought unique, it no longer runs "rings" around its neighbors	Saturn
800	ASTRONOMY	Launched Oct. 4th, 1957, it was Earth's 1st artificial satellite	Sputnik
1000	ASTRONOMY	Only planet to have seasons similar to Earth's	Mars
0	LANGUAGE	It is the 2nd most spoken language in the world	English
100	GEOGRAPHY	Christmas, Easter, or Bermuda, for example	islands
200	GEOGRAPHY	Europe's only wild monkeys live on this "rock\"	(rock of) Gibraltar
300	GEOGRAPHY	1/3 the size of U.S., this royal kingdom has no rivers or lakes but lots of oil	Saudi Arabia
400	GEOGRAPHY	Largest country entirely in Europe	France
500	GEOGRAPHY	Clocks in Lima, Peru, read the same as in this U.S. time zone	Eastern
100	BY THE NUMBERS	The 1st asked in this game is usually "Animal, vegetable or mineral?\"	Twenty Questions
200	BY THE NUMBERS	The two point values an ace can have in blackjack	1 and 11
300	BY THE NUMBERS	Police precinct Barney Miller "dozen" work at any more	the 12th
400	BY THE NUMBERS	A race run by couples tied together at the ankle	a 3-legged race
500	BY THE NUMBERS	Musical about Continental Congress, it included song "Sit Down, John\"	1776
100	TOYS & GAMES	Number of pockets on a pool table	6
200	TOYS & GAMES	Color that always has opening move in chess	white
300	TOYS & GAMES	Versions of this board game take place in London, Madrid, & Atlantic City	Monopoly
400	TOYS & GAMES	Binney & Smith makes them in 64 colors	(Crayola) crayons
500	TOYS & GAMES	She's been a teenage fashion model for over 25 years	Barbie
100	TRANSPORTATION	It could be paddle wheel, cargo or tramp	a steamer
200	TRANSPORTATION	Charlton Heston was "on track" with it in "Ben Hur\"	a chariot
100	FLOWERS & TREES	Its seed is used in baking, but 1 type produces opium	the poppy
200	FLOWERS & TREES	Long associated with Lebanon, this tree is on its flag	a cedar
100	TRIVIA	In 1983 Americans used over 1¼ million gallons of this beach product	suntan lotion
200	TRIVIA	When it was rung for Chief Justice John Marshall's funeral, it cracked	the Liberty Bell
300	TRIVIA	\"Kingdom" that Khrushchev couldn't visit in 1959 U.S. trip	the Magic Kingdom/Disneyland
400	TRIVIA	Dr. Seuss' egg-hatching elephant who was "faithful, 100%\"	Horton
500	TRIVIA	It spent the night in a discount-house parking lot before heading to L.A. Coliseum	the Olympic torch
200	THE CIVIL WAR	Lincoln's four brothers-in-law all served in this army	the Confederate army
400	THE CIVIL WAR	Though shots fired at this garrison started the war, no casualties resulted	Fort Sumter
600	THE CIVIL WAR	He was Lincoln's first choice to lead the Union army	Robert E. Lee
800	THE CIVIL WAR	State that seceded from state that seceded	West Virginia
1000	THE CIVIL WAR	General Nicknamed "Uncle Billy" who believed in total war	(William Tecumseh) Sherman
200	ANATOMY	Mark Anthony borrowed them, then bent them	ears
400	ANATOMY	Over ½ of these are in your hands & feet	your bones
600	ANATOMY	Number of chambers in a judge's heart	4
800	ANATOMY	The body has over 60,000 miles of them	blood vessels
3500	ANATOMY	Prominent zygomatic bones, considered an attractive facial feature	cheek bones
200	MOVIES	To Dustin Hoffman this '82 film was a "drag\"	Tootsie
400	MOVIES	Film featuring March & Gaynor, Garland & Mason or Streisand & Kristofferson	A Star Is Born
600	MOVIES	In '84 he's a destroyer, in '82 he was just a barbarian	Conan
800	MOVIES	Walter Matthau & Tony Curtis both coached this kids' baseball team	The Bad News Bears
1000	MOVIES	Went from bit part in film "Little Shop of Horrors" to Oscars for Best Actor & Best Support	Jack Nicholson
200	STATE CAPITALS	It succeeded Fort Whipple, Prescott, & Tucson as capital	Phoenix
400	STATE CAPITALS	Lincoln lived & practiced law here for 25 years before becoming president	Springfield
600	STATE CAPITALS	1 of 4 state capitals that end in word "City\"	(1 of) Salt Lake City, Oklahoma City, Jefferson City, Carson City
200	ALPHABET SOUP	He's the heavyweight of the A-Team	Mr. T
400	ALPHABET SOUP	Caveman comic strip created by Johnny Hart	\"B.C.\"
600	ALPHABET SOUP	Letter shared by sensuous woman author & 76'ers Doctor	J
800	ALPHABET SOUP	What Bo Derek would have been in ancient Rome	X
1000	ALPHABET SOUP	Binet & Simon's measure of mental age	the IQ
200	BUSINESS & INDUSTRY	\"Body-building" brand of bread from "the bakery people of IT&T\"	Wonder Bread
400	BUSINESS & INDUSTRY	In 1978, this German co. became first foreign automaker to make cars here	Volkswagen
600	BUSINESS & INDUSTRY	This company owns the world's tallest building	Sears(-Roebuck)
800	BUSINESS & INDUSTRY	Piggly Wiggly stores were the first of these	supermarkets
0	AMERICAN GOVERNMENT	Since 1970, the only cabinet department not headed by a secretary	the Attorney General's Department
100	AMERICAN LITERATURE	Melville's white whale tale	Moby-Dick
200	AMERICAN LITERATURE	Lincoln called it "the book that caused the big war\"	Uncle Tom's Cabin
300	AMERICAN LITERATURE	Steinbeck novel dubbed "the Uncle Tom's Cabin of the Depression\"	The Grapes of Wrath
400	AMERICAN LITERATURE	He gave Hester a scarlet "A\"	Nathaniel Hawthorne
500	AMERICAN LITERATURE	Great-grand nephew of Francis Scott Key, he was the voice of the Jazz Age	F. Scott Fitzgerald
100	ALL NUMBERS	It was "enough" for Dick van Patten	Eight
200	ALL NUMBERS	A teen's "sweet" age	16
100	RELIGION	Country that is home to Parsis & Sikhs	India
200	RELIGION	More common name for The Watchtower Bible & Tract Society	Jehovah's Witnesses
300	RELIGION	Some 3 million pilgrims visit this small French town annually	Lourdes
100	TRIVIA	\"Only you can prevent forest fires\"	Smokey the Bear('s motto)
200	TRIVIA	Nickname of our 16th president & Li'l Abner's son	Honest Abe
300	TRIVIA	Though this actress' cat is named for Buster Keaton, she's really no relation	Diane Keaton
400	TRIVIA	Above this I.Q. mark, you're considered a genius	140
500	TRIVIA	State name that's misspelled on the Liberty Bell	Pennsylvania
100	NATIONAL PARKS	Due to earthquakes, this Yellowstone geyser no longer erupts on time	Old Faithful
200	NATIONAL PARKS	Logs in this forest may be 150 million years old	the Petrified Forest
300	NATIONAL PARKS	There are still unexplored areas of these New Mexico caves	Carlsbad Caverns
400	NATIONAL PARKS	Mount Whitney, highest point in lower 48 states, is in this park named for its trees	Sequoia National Park
500	NATIONAL PARKS	This southern subtropical wilderness is home to manatees & TV's "Gentle Ben\"	the Everglades
100	TRIOS	D'Artagnan's best buddies	the Three Musketeers
200	TRIOS	With them under foot, Uncle Donald's life wasn't duck soup	Huey, Dewey, and Louie
300	TRIOS	\"Candy Man" who began with the Will Mastin Trio	Sammy Davis, Jr.
400	TRIOS	Classic TV puppet show which also featured Beulah Witch & Delores Dragon	Kukla, Fran & Ollie
500	TRIOS	Apollo II trio; while Collins circled Moon, these 2 landed	Neil Armstrong & Buzz Aldrin
200	CHEMISTRY	Coal & diamonds both consist of it	carbon
400	CHEMISTRY	Common kitchen substance known chemically as sodium chloride	salt
800	CHEMISTRY	Used in cars' catalytic converters, it's more expensive than gold	platinum
1000	CHEMISTRY	U.S. & Canada produce almost entire world supply of this lightest inert gas	helium
200	THE PRESS	It carries the motto "All the news that's fit to print\"	The New York Times
400	THE PRESS	First published in 1889 by the Dow Jones Co.	The Wall Street Journal
600	THE PRESS	Harvard Lampoon alumnus, by 1937 he owned 25 daily newspapers & a California castle	William Randolph Hearst
1000	THE PRESS	The official news agency of the Soviet Union	TASS
200	TRAVEL & TOURISM	Although this Roman arena could hold 50,000, it's not on the Jackson tour	the Colosseum
400	TRAVEL & TOURISM	Date just west of this is 1 day later than the date just east	the International Date Line
800	TRAVEL & TOURISM	Official endorsement to show validity of a passport, or a major credit card	a visa
1000	TRAVEL & TOURISM	Currency of Liechtenstein, Luxembourg & Andorra	the franc
200	STARTS WITH "J\"	The first Mrs. Bonaparte	Josephine
400	STARTS WITH "J\"	A puzzle people go to pieces over	a jigsaw puzzle
600	STARTS WITH "J\"	The police say "fine" for crossing the street this way	jaywalking
3000	STARTS WITH "J\"	The only "J" in the Pledge of Allegiance	justice
1000	STARTS WITH "J\"	Event an Olympian throws	javelin
200	SHAKESPEARE	Hamlet found "something rotten" in this country	Denmark
400	SHAKESPEARE	The Moor who loved Desdemona "not wisely, but too well\"	Othello
600	SHAKESPEARE	Battle of the sexes on which musical "Kiss Me Kate" was based	The Taming of the Shrew
800	SHAKESPEARE	Chubby character who loved his ale & supplied the name for one	Falstaff
1000	SHAKESPEARE	She was 8 years older & 3 months pregnant when Shakespeare married her	Anne Hathaway
200	SPORT OF KINGS	Horse racing was a sport at these ancient Greek contests	the Olympics
400	SPORT OF KINGS	Collective name of Kentucky Derby, Preakness, & Belmont Stakes	the Triple Crown
600	SPORT OF KINGS	Billy the Cobbler, or a famous jockey	Willie Shoemaker
800	SPORT OF KINGS	Since 1936, because of this, horses "say cheese" at the end of races	a photo finish
1000	SPORT OF KINGS	All U.S. thoroughbreds are officially born on this day of the year	January 1
0	THE OLYMPICS	Of the 5 continents symbolized by Olympic rings, only one never to hold Games	Africa
100	FICTION	Shakespeare's "star-crossed" lovers	Romeo and Juliet
200	FICTION	The "lovable" family of Peter Pan	the Darlings
300	FICTION	\"Cat on a Hot Tin Roof's" portly patriarch	Big Daddy
400	FICTION	The Philip Roth character with a "complaint\"	Portnoy
500	FICTION	Pasternak's Moscow medic	Dr. Zhivago
